id_tim,nama_tim,nim_pml,token
13,TEMBUKU 1,212112029,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz18
14,TEMBUKU 2,212111996,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz19
15,TEMBUKU 3,222112201,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz20
16,BANGLI 1,212112283,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz21
17,BANGLI 2,222112222,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz22
18,BANGLI 3,222112142,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz23
19,BANGLI 4,222112434,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz24
20,BANGLI 5,212112391,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz25
21,BANGLI 6,212112198,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz26
22,BANGLI 7,222112245,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz27
23,TEMBUKU 4,222112260,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz28
24,BANGLI 8,212111960,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz29
25,ABIANSEMAL 1,212112216,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz30
26,MENGWI 1,212112255,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz31
27,ABIANSEMAL 2,222112310,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz32
28,ABIANSEMAL 3,222112266,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz33
29,MENGWI 2,212112101,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
30,MENGWI 3,212112132,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
31,MENGWI 4,212112330,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
32,MENGWI 5,222112339,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
33,MENGWI 6,222112004,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
34,MENGWI 7,212111897,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
35,MENGWI 8,222111929,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
36,ABIANSEMAL 4,212112200,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
37,BULELENG 1,222112085,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
38,GEROKGAK 1,212112050,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
39,SERIRIT 1,212112168,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
40,SERIRIT 2,212112292,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
41,BULELENG 2,212112306,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
42,BULELENG 3,212112323,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
43,GEROKGAK 2,222112048,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
44,BULELENG 4,212112073,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
45,BULELENG 5,212112186,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
46,GEROKGAK 3,212112157,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
47,GEROKGAK 4,212112113,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
48,SERIRIT 3,212112211,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
49,BLAHBATUH 1,212112267,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
50,BLAHBATUH 2,222112372,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
51,BLAHBATUH 3,212112361,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
52,GIANYAR 1,222111912,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
53,GIANYAR 2,212111915,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
54,GIANYAR 3,212112256,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
55,GIANYAR 4,222111888,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
56,GIANYAR 5,212112075,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
57,GIANYAR 6,222112042,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
58,GIANYAR 7,212112284,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
59,BLAHBATUH 4,212112343,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
60,GIANYAR 8,222112114,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
61,PEKUTATAN 1,222112225,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
62,NEGARA 1,212112395,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
63,NEGARA 2,212111837,3JL$cydjyxyuf!SZLc4N6N66atIbSahDt$FqZRKVPpSUQ1s2NWKrvhyQa9jY4bxx
64,NEGARA 3,222111855,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz07
65,NEGARA 4,222111893,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz08
66,NEGARA 5,212111876,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz09
67,NEGARA 6,222111886,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz10
68,NEGARA 7,222111966,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz11
69,NEGARA 8,222112110,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz12
70,PEKUTATAN 2,222112171,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz13
71,PEKUTATAN 3,212112180,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz14
72,NEGARA 9,222112344,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz15
73,KARANGASEM  1,222111933,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz16
74,KARANGASEM 2,212111936,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz17
75,KARANGASEM 3,212112084,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz18
76,KARANGASEM 4,212112279,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz19
77,KARANGASEM 5,222111924,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz20
78,SIDEMEN 1,222112348,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz21
79,KARANGASEM 6,212112331,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz22
80,KARANGASEM 7,212111867,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz23
81,KARANGASEM 8,212112138,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz24
82,SIDEMEN 2,212112178,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz25
83,KARANGASEM 9,212111881,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz26
84,SIDEMEN 3,212112254,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz27
85,DAWAN 1,212111861,HSqRkWR$WJScJPisgbWx7z9JuHcJ8r2AMuKhfOrjPWLSF76VNRVmAob8C$oJbz28
86,KLUNGKUNG 1,212112108,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
87,KLUNGKUNG 2,212111847,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
88,DAWAN 2,222112410,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
89,DAWAN 3,222112377,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
90,KLUNGKUNG 3,222111850,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
91,KLUNGKUNG 4,212111868,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
92,KLUNGKUNG 5,222112376,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
93,KLUNGKUNG 6,212111872,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
94,KLUNGKUNG 7,212112018,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
95,KLUNGKUNG 8,212111920,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
96,DAWAN 4,212112080,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
97,SELEMADEG 1,212111946,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
98,SELEMADEG 2,212112214,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
99,TABANAN 1,212112257,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
100,TABANAN 2,212112352,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
101,TABANAN 3,212112298,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
102,TABANAN 4,222112197,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
103,KEDIRI 1,222111961,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
104,KEDIRI 2,212112040,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
105,KEDIRI 3,222112044,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
106,KEDIRI 4,222111878,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
107,KEDIRI 5,212112061,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
108,TABANAN 5,212112240,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
109,DENPASAR BARAT 9,222112384,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
110,DENPASAR TIMUR 5,222112217,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
111,DENPASAR TIMUR 6,212112144,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
112,TEMBUKU 5,222112195,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
113,ABIANSEMAL 5,212111942,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
114,GIANYAR 9,212112124,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
115,COBA,222199999,XxUf5$fJCGtYqdplg1ustmAj7j5Yo$7fcNXh$hKqSCYbFsQPG4swfE33PlKDP7LV
